Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID	HGNC symbol	HGNC ID
1	1471765	1497848	ENSG00000160072	ATAD3B	HGNC:24007
1	182696	184174	ENSG00000279928	DDX11L17	HGNC:55080
1	2581560	2584533	ENSG00000228037		
1	3069168	3438621	ENSG00000142611	PRDM16	HGNC:14000
1	5301928	5307394	ENSG00000284616		
1	2403964	2413797	ENSG00000157911	PEX10	HGNC:8851
1	2350414	2352820	ENSG00000269896		
1	257864	359681	ENSG00000228463		
1	5492978	5494674	ENSG00000260972		
1	10054445	10054781	ENSG00000224340		
1	3944547	3949024	ENSG00000226374	LINC01345	HGNC:50564
1	4175528	4175899	ENSG00000229280	EEF1DP6	HGNC:51456
1	10472288	10630758	ENSG00000142655	PEX14	HGNC:8856
1	4571481	4594016	ENSG00000232596	LINC01646	HGNC:52433
1	4412027	4424689	ENSG00000235054	LINC01777	HGNC:52567
1	5086459	5090899	ENSG00000231510	LINC02782	HGNC:54302
1	2425980	2505532	ENSG00000149527	PLCH2	HGNC:29037
1	4963954	4973298	ENSG00000284739		
1	9292894	9369532	ENSG00000171621	SPSB1	HGNC:30628
1	3306636	3310096	ENSG00000272235		
1	4479131	4484375	ENSG00000284694		
1	2492300	2493258	ENSG00000224387		
1	9035106	9088478	ENSG00000142583	SLC2A5	HGNC:11010
1	4973381	4981568	ENSG00000284674	LINC02781	HGNC:54301
1	11425257	11425821	ENSG00000224338	MTCYBP45	HGNC:52313
1	15684320	15734769	ENSG00000116786	PLEKHM2	HGNC:29131
1	10612222	10616452	ENSG00000287727		
1	266855	268655	ENSG00000286448		
1	4012921	4019508	ENSG00000284703		
1	16369150	16369530	ENSG00000226457	RPL22P3	HGNC:36804
1	9943428	9985501	ENSG00000173614	NMNAT1	HGNC:17877
1	15191828	15192845	ENSG00000215720	MFFP1	HGNC:54537
1	9983141	9984568	ENSG00000241326		
1	10058671	10059648	ENSG00000233623	PGAM1P11	HGNC:42464
1	3746460	3771645	ENSG00000162592	CCDC27	HGNC:26546
1	11479155	11537551	ENSG00000204624	DISP3	HGNC:29251
1	2590639	2633016	ENSG00000142606	MMEL1	HGNC:14668
1	2566410	2569888	ENSG00000225931		
1	15152532	15220478	ENSG00000171729	TMEM51	HGNC:25488
1	185217	195411	ENSG00000279457	WASH9P	HGNC:53981
1	2493437	2494479	ENSG00000229393		
1	16246840	16352480	ENSG00000037637	FBXO42	HGNC:29249
1	4730211	4734992	ENSG00000287586		
1	18871430	18902724	ENSG00000159423	ALDH4A1	HGNC:406
1	4551735	4552145	ENSG00000227169		
1	5554747	5554881	ENSG00000283356		
1	11806096	11848079	ENSG00000011021	CLCN6	HGNC:2024
1	15456728	15472091	ENSG00000142615	CELA2A	HGNC:24609
1	15465909	15491395	ENSG00000215704	CELA2B	HGNC:29995
1	2391775	2405442	ENSG00000157916	RER1	HGNC:30309
